character,oldAI_winRate,smartAI_winRate,deltaSmartMinusOld,oldAI_avgDamage,smartAI_avgDamage,oldAI_avgGuards,smartAI_avgGuards
Paleya,54,68,14,20.21,30.52,2.04,0.5
K'ku,43.2,47.5,4.3,20.03,20.27,1.93,1.57
Kahro,50.4,52.8,2.4,13.98,18.26,0,0
Yaura,58,60.1,2.1,26.74,26.61,1.87,1.23
Maoja,50.2,50,-0.2,15.28,15.65,0,0
Bakub,55.7,55,-0.7,9.27,11.74,2.19,1.1
Lady Eva,47,44.4,-2.6,16.6,12.5,1.43,1.3
Dravain,44.2,41.5,-2.7,14.28,8.24,2.11,1.94
Hyafrost,44.7,41.7,-3.0,21.49,20.69,1.08,0.56
Smithen,49.8,46.4,-3.4,20.44,19.25,0.98,0.88
Poom,46.1,41.1,-5.0,29.6,27.46,2.43,1.25
Bahl,56.7,51.3,-5.4,17.56,18.31,0,0