character,opponent,games,winRate
"dravain","yaura","56","75"
"yaura","dravain","56","25"
"yaura","bakub","54","25.9"
"bakub","yaura","54","74.1"
"yaura","poom","67","26.9"
"poom","yaura","67","73.1"
"smithen","yaura","69","71"
"yaura","smithen","69","29"
"yaura","kahro","65","29.2"
"kahro","yaura","65","70.8"
"paleya","yaura","54","70.4"
"yaura","paleya","54","29.6"
"yaura","hyafrost","69","30.4"
"hyafrost","yaura","69","69.6"
"smithen","kku","44","68.2"
"kku","smithen","44","31.8"
"eva","dravain","74","32.4"
"dravain","eva","74","67.6"
"paleya","smithen","57","33.3"
"smithen","paleya","57","66.7"
"yaura","shaman","56","33.9"
"shaman","yaura","56","66.1"