type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 9.02, used 1167, win 45.2%"
"dead-ability","Bahl — Dark Proliferation","only 13 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.03, used 2555, win 57.9%"
"ability-too-weak","Bakub — Nightmare Vial","avg value 0.95, used 1048, win 42.9%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 276, win 30.4%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.62, used 1129, win 41.9%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.6, used 1041, win 60.9%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.58, used 1168, win 37.1%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 1449, win 32.2%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 1010, win 32.9%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 449, win 55.5%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 1112, win 35.3%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1340, win 54%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 434, win 46.3%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 1066, win 45%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 583, win 32.1%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 479, win 53.7%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 628, win 40.4%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 687, win 58.8%"
"ability-too-weak","Bakub — False Future","avg value 0, used 332, win 44.6%"
"matchup-weak","kku vs dravain","25.7% over 136 games"
"matchup-dominant","dravain vs kku","74.3% over 136 games"
"matchup-dominant","dravain vs yaura","72.5% over 120 games"
"matchup-weak","yaura vs dravain","27.5% over 120 games"
"matchup-weak","yaura vs kahro","29.9% over 134 games"
"matchup-dominant","kahro vs yaura","70.1% over 134 games"
"matchup-dominant","dravain vs maoja","69.9% over 153 games"
"matchup-weak","maoja vs dravain","30.1% over 153 games"
"matchup-dominant","poom vs kku","68.9% over 106 games"
"matchup-weak","kku vs poom","31.1% over 106 games"
"matchup-dominant","poom vs yaura","68.5% over 111 games"
"matchup-weak","yaura vs poom","31.5% over 111 games"
"matchup-dominant","smithen vs yaura","67.8% over 115 games"
"matchup-weak","yaura vs smithen","32.2% over 115 games"
"matchup-dominant","dravain vs paleya","67.2% over 119 games"
"matchup-weak","paleya vs poom","32.8% over 125 games"
"matchup-weak","paleya vs dravain","32.8% over 119 games"
"matchup-dominant","poom vs paleya","67.2% over 125 games"
"matchup-dominant","eva vs paleya","66.9% over 118 games"
"matchup-weak","paleya vs eva","33.1% over 118 games"
"matchup-dominant","bakub vs yaura","66.7% over 111 games"
"matchup-dominant","shaman vs yaura","66.7% over 120 games"
"matchup-weak","yaura vs shaman","33.3% over 120 games"
"matchup-weak","yaura vs bakub","33.3% over 111 games"
"matchup-dominant","poom vs shaman","65.9% over 123 games"
"matchup-weak","shaman vs poom","34.1% over 123 games"
"matchup-weak","paleya vs shaman","34.9% over 126 games"
"matchup-dominant","shaman vs paleya","65.1% over 126 games"
"matchup-weak","hyafrost vs poom","35% over 103 games"
"matchup-dominant","poom vs hyafrost","65% over 103 games"