pair,picks,winRate
"hope+kahro","199","72.9"
"bakub+shaman","195","71.3"
"kahro+shaman","186","71"
"kahro+paleya","193","71"
"dravain+kahro","203","67.5"
"paleya+shaman","197","67"
"hope+paleya","211","66.8"
"maoja+shaman","215","66.5"
"bakub+paleya","191","65.4"
"hope+poom","183","65"
"poom+shaman","207","64.7"
"hope+maoja","209","64.6"
"hyafrost+kahro","198","63.6"
"kahro+maoja","211","63.5"
"bakub+kahro","204","63.2"
"dravain+shaman","210","62.4"
"maoja+paleya","204","62.3"
"maoja+poom","210","61.4"
"shaman+yaura","167","61.1"
"shaman+zahria","192","60.9"
"bakub+poom","204","60.3"
"kahro+poom","203","59.6"
"hope+hyafrost","195","59.5"
"dravain+maoja","229","59"
"dravain+paleya","204","58.8"
"hyafrost+maoja","185","58.4"
"hope+shaman","160","58.1"
"kahro+zahria","181","58"
"bakub+maoja","202","57.4"
"bakub+hope","170","55.9"
"maoja+zahria","198","55.1"
"kahro+smithen","233","54.5"
"paleya+poom","180","54.4"
"eva+kahro","201","53.7"
"dravain+hope","214","53.3"
"bakub+dravain","197","53.3"
"bakub+hyafrost","192","53.1"
"dravain+poom","214","52.8"
"hyafrost+poom","215","51.2"
"eva+shaman","186","51.1"
"kku+shaman","208","51"
"hyafrost+shaman","173","50.9"
"poom+yaura","195","50.8"
"eva+maoja","174","50.6"
"dravain+hyafrost","170","50.6"
"maoja+smithen","222","49.5"
"shaman+smithen","222","49.5"
"bakub+smithen","203","49.3"
"hope+zahria","211","48.8"
"bakub+zahria","183","48.6"
"eva+poom","206","48.5"
"hope+smithen","200","47.5"
"paleya+smithen","188","46.8"
"kahro+kku","211","46.4"
"maoja+yaura","216","46.3"
"bakub+eva","180","46.1"
"bakub+yaura","220","45.5"
"eva+hope","200","45.5"
"hyafrost+zahria","194","44.8"
"paleya+yaura","186","44.6"
"hyafrost+yaura","187","44.4"
"kku+paleya","178","44.4"
"hyafrost+kku","201","43.8"
"paleya+zahria","185","43.8"
"kahro+yaura","177","43.5"
"dravain+smithen","215","43.3"
"dravain+eva","193","42.5"
"hope+kku","201","42.3"
"poom+zahria","206","42.2"
"hyafrost+paleya","173","42.2"
"kku+smithen","214","41.1"
"eva+paleya","200","41"
"hope+yaura","191","38.7"
"bakub+kku","187","38.5"
"hyafrost+smithen","175","38.3"
"eva+hyafrost","210","38.1"
"smithen+zahria","216","38"
"dravain+zahria","206","36.9"
"dravain+kku","203","36.5"
"kku+poom","212","35.8"
"yaura+zahria","194","35.1"
"poom+smithen","205","34.6"
"kku+maoja","197","34.5"
"smithen+yaura","207","33.3"
"dravain+yaura","188","33"
"eva+yaura","185","33"
"eva+smithen","200","32"
"kku+zahria","196","30.1"
"eva+kku","193","28.5"
"eva+zahria","194","25.3"
"kku+yaura","201","21.9"