team,picks,winRate
"bakub+maoja+shaman","9","100"
"hope+kahro+paleya","17","94.1"
"bakub+kahro+paleya","15","93.3"
"bakub+dravain+kahro","13","92.3"
"maoja+shaman+yaura","12","91.7"
"kahro+poom+shaman","12","91.7"
"kahro+paleya+shaman","22","90.9"
"dravain+kahro+shaman","18","88.9"
"bakub+paleya+shaman","15","86.7"
"hope+kahro+poom","14","85.7"
"hyafrost+kahro+maoja","14","85.7"
"hope+maoja+paleya","21","85.7"
"hope+hyafrost+maoja","20","85"
"bakub+poom+shaman","13","84.6"
"bakub+hope+kahro","19","84.2"
"kahro+maoja+zahria","12","83.3"
"kahro+shaman+yaura","6","83.3"
"eva+kahro+shaman","11","81.8"
"bakub+hope+poom","11","81.8"
"bakub+paleya+yaura","16","81.3"
"hope+maoja+poom","16","81.3"
"bakub+maoja+poom","16","81.3"
"maoja+poom+shaman","16","81.3"
"bakub+maoja+paleya","21","81"
"bakub+shaman+yaura","20","80"
"dravain+kahro+maoja","10","80"
"bakub+kahro+shaman","10","80"
"bakub+hope+paleya","10","80"
"dravain+paleya+shaman","15","80"
"paleya+shaman+zahria","14","78.6"
"dravain+hope+kahro","23","78.3"
"hope+paleya+poom","18","77.8"
"kahro+maoja+shaman","22","77.3"
"hope+maoja+shaman","13","76.9"
"kahro+shaman+zahria","13","76.9"
"hope+kahro+smithen","17","76.5"
"dravain+kahro+paleya","20","75"
"kahro+maoja+paleya","16","75"
"bakub+dravain+shaman","16","75"
"bakub+shaman+zahria","20","75"
"eva+kahro+maoja","20","75"
"maoja+poom+zahria","19","73.7"
"hope+hyafrost+kahro","19","73.7"
"bakub+hope+maoja","15","73.3"
"eva+maoja+shaman","15","73.3"
"eva+hope+poom","15","73.3"
"dravain+eva+poom","15","73.3"
"hope+kahro+zahria","15","73.3"
"kahro+kku+smithen","22","72.7"
"maoja+shaman+zahria","18","72.2"
"hope+poom+shaman","18","72.2"
"dravain+hope+paleya","18","72.2"
"hyafrost+kahro+poom","14","71.4"
"hope+kahro+maoja","17","70.6"
"dravain+maoja+poom","17","70.6"
"dravain+paleya+poom","17","70.6"
"eva+hope+kahro","17","70.6"
"bakub+hyafrost+zahria","10","70"
"paleya+poom+shaman","20","70"
"bakub+kahro+poom","20","70"
"dravain+eva+hope","10","70"
"kahro+paleya+zahria","20","70"
"bakub+dravain+paleya","23","69.6"
"maoja+poom+yaura","23","69.6"
"dravain+maoja+smithen","23","69.6"
"bakub+paleya+smithen","13","69.2"
"kahro+kku+paleya","13","69.2"
"hope+hyafrost+paleya","13","69.2"
"dravain+kahro+zahria","13","69.2"
"hyafrost+kahro+kku","16","68.8"
"bakub+hyafrost+kahro","19","68.4"
"bakub+hyafrost+maoja","19","68.4"
"eva+poom+shaman","18","66.7"
"kku+paleya+shaman","15","66.7"
"dravain+shaman+yaura","12","66.7"
"dravain+hope+maoja","24","66.7"
"hyafrost+kahro+shaman","18","66.7"
"hope+hyafrost+poom","12","66.7"
"eva+paleya+shaman","15","66.7"
"bakub+maoja+zahria","12","66.7"
"eva+maoja+paleya","18","66.7"
"hope+kku+paleya","21","66.7"
"hope+hyafrost+kku","18","66.7"
"dravain+hyafrost+kahro","18","66.7"
"kahro+poom+zahria","15","66.7"
"hope+shaman+zahria","12","66.7"
"poom+shaman+yaura","18","66.7"
"kahro+maoja+smithen","23","65.2"
"dravain+hyafrost+maoja","17","64.7"
"hyafrost+kahro+yaura","17","64.7"
"bakub+hope+shaman","17","64.7"
"dravain+kku+shaman","17","64.7"
"kku+shaman+smithen","17","64.7"
"hyafrost+shaman+zahria","14","64.3"
"hyafrost+maoja+poom","14","64.3"
"dravain+maoja+paleya","25","64"
"dravain+maoja+shaman","25","64"
"bakub+eva+shaman","22","63.6"
"hope+paleya+smithen","19","63.2"
"hope+paleya+zahria","19","63.2"
"bakub+poom+yaura","19","63.2"
"maoja+paleya+shaman","19","63.2"
"kahro+maoja+poom","19","63.2"
"bakub+shaman+smithen","19","63.2"
"bakub+kahro+yaura","19","63.2"
"hope+hyafrost+zahria","19","63.2"
"hope+shaman+yaura","8","62.5"
"dravain+hyafrost+paleya","13","61.5"
"bakub+eva+maoja","13","61.5"
"dravain+hyafrost+poom","18","61.1"
"shaman+yaura+zahria","18","61.1"
"bakub+eva+poom","18","61.1"
"hyafrost+poom+yaura","15","60"
"hyafrost+maoja+paleya","10","60"
"dravain+hope+hyafrost","10","60"
"hyafrost+kku+shaman","15","60"
"bakub+dravain+poom","15","60"
"kahro+paleya+yaura","15","60"
"bakub+kku+smithen","15","60"
"hope+kahro+shaman","15","60"
"dravain+shaman+zahria","20","60"
"hyafrost+paleya+poom","15","60"
"maoja+smithen+zahria","17","58.8"
"bakub+dravain+hyafrost","17","58.8"
"bakub+dravain+eva","12","58.3"
"dravain+hope+shaman","12","58.3"
"eva+hope+maoja","12","58.3"
"hope+poom+zahria","19","57.9"
"dravain+kahro+poom","21","57.1"
"bakub+dravain+smithen","14","57.1"
"bakub+hyafrost+kku","14","57.1"
"hope+kku+poom","14","57.1"
"bakub+dravain+zahria","14","57.1"
"poom+shaman+zahria","16","56.3"
"kahro+paleya+smithen","16","56.3"
"bakub+dravain+maoja","25","56"
"kahro+smithen+zahria","25","56"
"dravain+paleya+smithen","18","55.6"
"dravain+eva+kahro","18","55.6"
"eva+hyafrost+yaura","18","55.6"
"poom+yaura+zahria","18","55.6"
"dravain+hyafrost+shaman","9","55.6"
"dravain+poom+shaman","20","55"
"eva+kahro+kku","11","54.5"
"bakub+hope+smithen","11","54.5"
"bakub+kku+shaman","22","54.5"
"hyafrost+kahro+paleya","13","53.8"
"kahro+paleya+poom","13","53.8"
"maoja+paleya+poom","13","53.8"
"dravain+kahro+kku","15","53.3"
"maoja+paleya+smithen","15","53.3"
"hope+kahro+kku","17","52.9"
"kku+poom+shaman","17","52.9"
"eva+hope+shaman","17","52.9"
"hope+maoja+zahria","19","52.6"
"dravain+hope+poom","19","52.6"
"hope+hyafrost+yaura","19","52.6"
"hope+maoja+smithen","21","52.4"
"paleya+shaman+yaura","21","52.4"
"kahro+poom+smithen","23","52.2"
"maoja+shaman+smithen","25","52"
"hyafrost+kku+maoja","14","50"
"dravain+shaman+smithen","28","50"
"dravain+maoja+zahria","18","50"
"bakub+paleya+zahria","16","50"
"bakub+paleya+poom","16","50"
"paleya+shaman+smithen","16","50"
"bakub+smithen+yaura","28","50"
"hope+paleya+yaura","22","50"
"hyafrost+poom+shaman","16","50"
"hyafrost+shaman+smithen","22","50"
"hyafrost+maoja+zahria","18","50"
"dravain+kahro+smithen","18","50"
"bakub+hyafrost+poom","28","50"
"dravain+eva+maoja","12","50"
"bakub+kku+paleya","12","50"
"paleya+poom+yaura","14","50"
"hope+shaman+smithen","14","50"
"hope+paleya+shaman","12","50"
"shaman+smithen+yaura","12","50"
"bakub+poom+smithen","16","50"
"hyafrost+poom+smithen","10","50"
"dravain+poom+smithen","10","50"
"dravain+kahro+yaura","16","50"
"bakub+kahro+zahria","12","50"
"maoja+smithen+yaura","20","50"
"bakub+hyafrost+shaman","12","50"
"hyafrost+kahro+zahria","12","50"
"paleya+poom+zahria","12","50"
"eva+paleya+poom","12","50"
"hope+poom+yaura","14","50"
"eva+kahro+poom","29","48.3"
"poom+shaman+smithen","23","47.8"
"maoja+yaura+zahria","23","47.8"
"hyafrost+kku+zahria","21","47.6"
"eva+kahro+yaura","19","47.4"
"hyafrost+kahro+smithen","19","47.4"
"eva+kku+paleya","19","47.4"
"eva+hyafrost+kahro","19","47.4"
"kku+shaman+yaura","17","47.1"
"hyafrost+maoja+yaura","17","47.1"
"bakub+poom+zahria","17","47.1"
"eva+kahro+smithen","17","47.1"
"bakub+hope+hyafrost","17","47.1"
"kku+shaman+zahria","15","46.7"
"shaman+smithen+zahria","15","46.7"
"kku+poom+yaura","13","46.2"
"hope+yaura+zahria","13","46.2"
"bakub+eva+kahro","13","46.2"
"hyafrost+shaman+yaura","13","46.2"
"bakub+eva+hope","13","46.2"
"bakub+kahro+smithen","24","45.8"
"bakub+hyafrost+smithen","11","45.5"
"kku+maoja+shaman","22","45.5"
"eva+hyafrost+poom","22","45.5"
"hope+smithen+zahria","22","45.5"
"dravain+eva+hyafrost","22","45.5"
"maoja+paleya+zahria","11","45.5"
"dravain+kku+poom","20","45"
"paleya+smithen+zahria","20","45"
"bakub+kahro+kku","20","45"
"eva+maoja+yaura","20","45"
"hope+kku+smithen","18","44.4"
"paleya+smithen+yaura","9","44.4"
"dravain+hyafrost+yaura","9","44.4"
"eva+hope+kku","18","44.4"
"dravain+kku+zahria","16","43.8"
"bakub+hope+zahria","16","43.8"
"bakub+eva+smithen","16","43.8"
"eva+hope+smithen","14","42.9"
"bakub+hyafrost+yaura","14","42.9"
"hope+hyafrost+smithen","14","42.9"
"hope+maoja+yaura","14","42.9"
"kahro+smithen+yaura","14","42.9"
"hyafrost+maoja+shaman","19","42.1"
"kahro+kku+shaman","24","41.7"
"eva+hope+hyafrost","24","41.7"
"eva+hyafrost+shaman","12","41.7"
"bakub+eva+hyafrost","12","41.7"
"dravain+eva+paleya","12","41.7"
"kku+smithen+zahria","17","41.2"
"bakub+eva+paleya","15","40"
"kku+maoja+smithen","10","40"
"eva+maoja+poom","15","40"
"hope+hyafrost+shaman","10","40"
"hyafrost+kku+smithen","15","40"
"eva+poom+yaura","10","40"
"maoja+paleya+yaura","20","40"
"bakub+kku+poom","15","40"
"hyafrost+yaura+zahria","15","40"
"kku+maoja+paleya","15","40"
"bakub+kahro+maoja","20","40"
"dravain+hope+yaura","20","40"
"kahro+kku+maoja","23","39.1"
"dravain+hope+zahria","23","39.1"
"dravain+hope+kku","23","39.1"
"dravain+eva+shaman","18","38.9"
"dravain+kku+paleya","18","38.9"
"bakub+kku+zahria","18","38.9"
"hyafrost+maoja+smithen","13","38.5"
"hyafrost+paleya+shaman","13","38.5"
"eva+kahro+paleya","13","38.5"
"eva+hope+paleya","21","38.1"
"kku+paleya+yaura","8","37.5"
"dravain+hope+smithen","19","36.8"
"bakub+hyafrost+paleya","19","36.8"
"hyafrost+smithen+zahria","19","36.8"
"dravain+poom+yaura","22","36.4"
"maoja+poom+smithen","22","36.4"
"dravain+kku+smithen","22","36.4"
"eva+maoja+smithen","11","36.4"
"hyafrost+smithen+yaura","14","35.7"
"bakub+smithen+zahria","14","35.7"
"eva+kahro+zahria","14","35.7"
"hyafrost+kku+poom","31","35.5"
"dravain+maoja+yaura","17","35.3"
"bakub+yaura+zahria","17","35.3"
"bakub+hope+yaura","17","35.3"
"kahro+shaman+smithen","15","33.3"
"hope+kku+shaman","12","33.3"
"hyafrost+paleya+zahria","12","33.3"
"hope+smithen+yaura","18","33.3"
"kku+paleya+smithen","18","33.3"
"dravain+hyafrost+zahria","18","33.3"
"eva+kku+shaman","15","33.3"
"kahro+kku+zahria","15","33.3"
"eva+poom+zahria","15","33.3"
"hyafrost+kku+paleya","12","33.3"
"kku+maoja+yaura","18","33.3"
"kahro+yaura+zahria","15","33.3"
"eva+maoja+zahria","15","33.3"
"bakub+eva+yaura","15","33.3"
"eva+paleya+smithen","15","33.3"
"hope+kahro+yaura","9","33.3"
"dravain+eva+yaura","18","33.3"
"dravain+paleya+yaura","9","33.3"
"dravain+kku+maoja","16","31.3"
"kku+maoja+zahria","16","31.3"
"dravain+smithen+zahria","16","31.3"
"eva+shaman+smithen","16","31.3"
"eva+hyafrost+zahria","16","31.3"
"kahro+kku+poom","13","30.8"
"hyafrost+paleya+smithen","13","30.8"
"bakub+dravain+hope","13","30.8"
"bakub+kku+maoja","13","30.8"
"eva+hyafrost+maoja","10","30"
"kahro+poom+yaura","10","30"
"hyafrost+poom+zahria","20","30"
"kku+maoja+poom","20","30"
"eva+paleya+yaura","20","30"
"dravain+smithen+yaura","20","30"
"eva+shaman+yaura","10","30"
"dravain+hyafrost+kku","10","30"
"eva+shaman+zahria","17","29.4"
"paleya+yaura+zahria","17","29.4"
"eva+smithen+zahria","17","29.4"
"bakub+maoja+yaura","17","29.4"
"eva+kku+smithen","24","29.2"
"kku+paleya+poom","14","28.6"
"bakub+eva+kku","14","28.6"
"eva+hyafrost+paleya","25","28"
"dravain+eva+smithen","18","27.8"
"eva+kku+poom","18","27.8"
"bakub+maoja+smithen","22","27.3"
"bakub+hope+kku","11","27.3"
"kahro+maoja+yaura","15","26.7"
"eva+poom+smithen","19","26.3"
"poom+smithen+yaura","19","26.3"
"paleya+poom+smithen","16","25"
"eva+hyafrost+smithen","16","25"
"hyafrost+kku+yaura","21","23.8"
"hope+kku+maoja","17","23.5"
"bakub+eva+zahria","17","23.5"
"hope+poom+smithen","13","23.1"
"kku+poom+smithen","18","22.2"
"dravain+eva+kku","18","22.2"
"eva+yaura+zahria","9","22.2"
"eva+hope+zahria","23","21.7"
"kku+poom+zahria","19","21.1"
"hyafrost+paleya+yaura","15","20"
"eva+paleya+zahria","15","20"
"dravain+eva+zahria","20","20"
"hope+kku+yaura","21","19"
"dravain+paleya+zahria","16","18.8"
"hope+kku+zahria","11","18.2"
"eva+smithen+yaura","17","17.6"
"kku+yaura+zahria","19","15.8"
"eva+kku+yaura","13","15.4"
"eva+kku+maoja","13","15.4"
"dravain+poom+zahria","20","15"
"bakub+dravain+yaura","20","15"
"eva+hyafrost+kku","14","14.3"
"bakub+dravain+kku","15","13.3"
"eva+hope+yaura","16","12.5"
"smithen+yaura+zahria","18","11.1"
"kku+smithen+yaura","18","11.1"
"bakub+kku+yaura","18","11.1"
"kahro+kku+yaura","22","9.1"
"dravain+yaura+zahria","12","8.3"
"dravain+kku+yaura","13","7.7"
"kku+paleya+zahria","13","7.7"
"eva+kku+zahria","16","6.3"
"poom+smithen+zahria","16","6.3"
"dravain+hyafrost+smithen","9","0"